taxid	kingdom	phylum	class	order	family	genus	species	n_sequences
100035		Ascomycota	Dothideomycetes	Pleosporales		Massariosphaeria	Massariosphaeria phaeospora	4
1002370		Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Knufia	Knufia peltigerae	2
100787		Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Verticillium	Verticillium longisporum	6
100816		Ascomycota	Sordariomycetes	Sordariales		Madurella	Madurella mycetomatis	1
1033008		Basidiomycota	Agaricomycetes	Agaricales	Mycenaceae	Mycena	Mycena albidolilacea	2
1033014		Basidiomycota	Agaricomycetes	Agaricales	Mycenaceae	Mycena	Mycena belliarum	7
1033252		Basidiomycota	Agaricomycetes	Agaricales	Mycenaceae	Mycena	Mycena metata	3
1033263		Basidiomycota	Agaricomycetes	Agaricales	Mycenaceae	Mycena	Mycena rosella	4
1033978		Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae			1
1034304		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus transmontanensis	1
1036611		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus versicolor	1
1036719		Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Verticillium		1
1042311		Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma asperellum	1
104259		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium brasilianum	1
1043003		Ascomycota	Dothideomycetes	Dothideales	Saccotheciaceae	Aureobasidium	Aureobasidium melanogenum	1
1043004		Ascomycota	Dothideomycetes	Dothideales	Saccotheciaceae	Aureobasidium	Aureobasidium namibiae	2
1043005		Ascomycota	Dothideomycetes	Dothideales	Saccotheciaceae	Aureobasidium	Aureobasidium subglaciale	2
104341		Basidiomycota	Agaricomycetes	Polyporales	Adustoporiaceae	Rhodonia	Rhodonia placenta	6
104357		Basidiomycota	Agaricomycetes	Agaricales	Pleurotaceae	Hohenbuehelia	Hohenbuehelia grisea	8
1043627		Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Hirsutella	Hirsutella minnesotensis	4
1047167		Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Zymoseptoria		8
1047168		Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Zymoseptoria	Zymoseptoria brevis	3
1047171		Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Zymoseptoria	Zymoseptoria tritici	15
1048519		Ascomycota	Dothideomycetes	Trypetheliales	Trypetheliaceae	Viridothelium	Viridothelium virens	21
1048955		Ascomycota	Dothideomycetes	Venturiales	Cylindrosympodiaceae	Tothia	Tothia fuscella	8
1051054		Ascomycota	Pezizomycetes	Pezizales	Morchellaceae	Morchella		1
1052096		Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Cladosporium	Cladosporium halotolerans	1
1052105		Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Purpureocillium		2
1052685		Basidiomycota	Agaricomycetes	Polyporales	Gelatoporiaceae	Obba	Obba rivulosa	3
105351		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus awamori	3
1069075		Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Beauveria	Beauveria asiatica	5
1069201		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus luchuensis	3
1070780		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus affinis	3
1073089		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus wentii	1
1073090		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicilliopsis	Penicilliopsis zonata	9
1076256		Basidiomycota	Agaricomycetes	Agaricales	Physalacriaceae	Armillaria	Armillaria solidipes	1
1076935		Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Pyronema	Pyronema omphalodes	2
1077348		Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Ganoderma	Ganoderma sinense	4
1077442		Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	Talaromyces marneffei	5
1079257		Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria	Ilyonectria robusta	1
108018		Ascomycota	Leotiomycetes	Helotiales	Ploettnerulaceae	Cadophora	Cadophora malorum	4
1080232		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium hispanicum	1
1080233		Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Zasmidium	Zasmidium cellare	25
1081102		Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Niveomyces	Niveomyces insectorum	1
1081103		Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium	Metarhizium album	1
1081104		Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Cordyceps	Cordyceps fumosorosea	2
1081107		Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Beauveria	Beauveria brongniartii	1
1081108		Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Akanthomyces	Akanthomyces lecanii	2
1081109		Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Moelleriella	Moelleriella libera	9
108571		Ascomycota	Leotiomycetes	Helotiales	Dermateaceae	Phlyctema	Phlyctema vagabunda	18
108892		Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae	Sanghuangporus	Sanghuangporus baumii	3
