taxid	kingdom	phylum	class	order	family	genus	species
102232		Cyanobacteriota	Cyanophyceae	Chroococcales	Chroococcaceae	Gloeocapsa	Gloeocapsa sp. PCC 73106
110368		Arthropoda	Insecta	Lepidoptera	Nymphalidae	Bicyclus	Bicyclus anynana
1117		Cyanobacteriota					
1125		Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	
1142		Cyanobacteriota	Cyanophyceae	Synechococcales	Merismopediaceae	Synechocystis	
1180		Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	Nostoc	Nostoc sp.
1224		Pseudomonadota					
155977		Cyanobacteriota	Cyanophyceae	Acaryochloridales	Acaryochloridaceae	Acaryochloris	
1807358		Cyanobacteriota	Cyanophyceae	Pleurocapsales	Dermocarpellaceae	Stanieria	Stanieria sp. NIES-3757
1890438		Cyanobacteriota	Cyanophyceae	Leptolyngbyales	Leptolyngbyaceae		
1898104		Bacteroidota					Bacteroidota bacterium
1913988		Pseudomonadota	Alphaproteobacteria				Alphaproteobacteria bacterium
1971630		Bacteroidota					Bacteroidetes bacterium 4572_112
2							
2026735		Myxococcota	Myxococcia				Deltaproteobacteria bacterium
2026740		Bacteroidota	Cytophagia	Cytophagales	Flammeovirgaceae		Flammeovirgaceae bacterium
2026763		Myxococcota	Myxococcia	Myxococcales			Myxococcales bacterium
2026780		Planctomycetota					Planctomycetota bacterium
2055781		Cyanobacteriota					Cyanobacteria bacterium UBA11162
212925		Streptophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia lathyris
231623		Rotifera	Eurotatoria	Philodinida	Philodinidae	Rotaria	
2607778		Cyanobacteriota	Cyanophyceae	Oscillatoriales	Microcoleaceae	Okeania	Okeania sp. SIO1H6
2607831		Cyanobacteriota	Cyanophyceae	Coleofasciculales	Coleofasciculaceae	Moorena	Moorena sp. SIO3I6
2607832		Cyanobacteriota	Cyanophyceae	Coleofasciculales	Coleofasciculaceae	Moorena	Moorena sp. SIO3I7
2607835		Cyanobacteriota	Cyanophyceae	Coleofasciculales	Coleofasciculaceae	Moorena	Moorena sp. SIO4A1
2620921		Cyanobacteriota	Cyanophyceae	Gomontiellales	Chamaesiphonaceae	Chamaesiphon	
2626047		Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	
2639466		Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Butyrivibrio	
265178		Bacillota	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Breznakia	Breznakia pachnodae
2683338		Cyanobacteriota	Cyanophyceae	Coleofasciculales	Coleofasciculaceae	Moorena	
2712224		Actinomycetota	Actinomycetes	Propionibacteriales	Nocardioidaceae	Nocardioides	Nocardioides convexus
2714958		Cyanobacteriota	Cyanophyceae	Gloeobacterales	Anthocerotibacteraceae	Candidatus Cyanaurora	Candidatus Cyanaurora vandensis
2720429		Cyanobacteriota	Cyanophyceae	Pleurocapsales	Hydrococcaceae	Hydrococcus	Hydrococcus sp. RM1_1_31
2804777		Cyanobacteriota	Cyanophyceae	Gloeobacterales			
2812628		Cyanobacteriota	Cyanophyceae	Gloeobacterales			Gloeobacterales cyanobacterium ES-bin-141
2815305		Bacillota	Bacilli	Caryophanales	Staphylococcaceae	Staphylococcus	
28216		Pseudomonadota	Betaproteobacteria				
283734		Bacillota	Bacilli	Caryophanales	Staphylococcaceae	Staphylococcus	Staphylococcus pseudintermedius
3018035		Bdellovibrionota					
3028117		Cyanobacteriota	Cyanophyceae				
334771		Thermoproteota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Ignisphaera	Ignisphaera aggregans
33958		Bacillota	Bacilli	Lactobacillales	Lactobacillaceae		
379064		Cyanobacteriota	Cyanophyceae	Chroococcales	Geminocystaceae	Cyanobacterium	Cyanobacterium aponinum
3888		Streptophyta	Magnoliopsida	Fabales	Fabaceae	Lathyrus	Lathyrus oleraceus
39		Myxococcota	Myxococcia	Myxococcales	Archangiaceae		
425004		Bacillota	Bacilli	Caryophanales	Paenibacillaceae	Cohnella	Cohnella ginsengisoli
45882		Nematoda	Enoplea	Trichinellida	Trichinellidae	Trichinella	Trichinella britovi
46433		Foraminifera			Reticulomyxidae	Reticulomyxa	Reticulomyxa filosa
468		Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae		
665097		Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Erwinia	Erwinia piriflorinigrans
7107		Arthropoda	Insecta	Lepidoptera	Noctuidae	Spodoptera	Spodoptera exigua
73025		Euglenozoa	Euglenida	Eutreptiales	Eutreptiaceae	Eutreptiella	Eutreptiella gymnastica
75682		Pseudomonadota	Betaproteobacteria	Burkholderiales	Oxalobacteraceae		
76066		Chordata	Amphibia	Anura	Leptodactylidae	Engystomops	Engystomops pustulosus
888997		Cyanobacteriota	Cyanophyceae	Nostocales	Calotrichaceae	Calothrix	Calothrix rhizosoleniae
91890		Pseudomonadota	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	Legionella pneumophila
