taxid	kingdom	phylum	class	order	family	genus	species	n_sequences
102232		Cyanobacteriota	Cyanophyceae	Chroococcales	Chroococcaceae	Gloeocapsa	Gloeocapsa sp. PCC 73106	2
110368		Arthropoda	Insecta	Lepidoptera	Nymphalidae	Bicyclus	Bicyclus anynana	1
1117		Cyanobacteriota						3
1125		Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis		1
1142		Cyanobacteriota	Cyanophyceae	Synechococcales	Merismopediaceae	Synechocystis		1
1180		Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	Nostoc	Nostoc sp.	1
1224		Pseudomonadota						1
155977		Cyanobacteriota	Cyanophyceae	Acaryochloridales	Acaryochloridaceae	Acaryochloris		1
1807358		Cyanobacteriota	Cyanophyceae	Pleurocapsales	Dermocarpellaceae	Stanieria	Stanieria sp. NIES-3757	1
1890438		Cyanobacteriota	Cyanophyceae	Leptolyngbyales	Leptolyngbyaceae			1
1898104		Bacteroidota					Bacteroidota bacterium	1
1913988		Pseudomonadota	Alphaproteobacteria				Alphaproteobacteria bacterium	1
1971630		Bacteroidota					Bacteroidetes bacterium 4572_112	1
2								10
2026735		Myxococcota	Myxococcia				Deltaproteobacteria bacterium	1
2026740		Bacteroidota	Cytophagia	Cytophagales	Flammeovirgaceae		Flammeovirgaceae bacterium	1
2026763		Myxococcota	Myxococcia	Myxococcales			Myxococcales bacterium	2
2026780		Planctomycetota					Planctomycetota bacterium	3
2055781		Cyanobacteriota					Cyanobacteria bacterium UBA11162	1
212925		Streptophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia lathyris	1
231623		Rotifera	Eurotatoria	Philodinida	Philodinidae	Rotaria		1
2607778		Cyanobacteriota	Cyanophyceae	Oscillatoriales	Microcoleaceae	Okeania	Okeania sp. SIO1H6	1
2607831		Cyanobacteriota	Cyanophyceae	Coleofasciculales	Coleofasciculaceae	Moorena	Moorena sp. SIO3I6	1
2607832		Cyanobacteriota	Cyanophyceae	Coleofasciculales	Coleofasciculaceae	Moorena	Moorena sp. SIO3I7	1
2607835		Cyanobacteriota	Cyanophyceae	Coleofasciculales	Coleofasciculaceae	Moorena	Moorena sp. SIO4A1	1
2620921		Cyanobacteriota	Cyanophyceae	Gomontiellales	Chamaesiphonaceae	Chamaesiphon		1
2626047		Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus		1
2639466		Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Butyrivibrio		1
265178		Bacillota	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Breznakia	Breznakia pachnodae	1
2683338		Cyanobacteriota	Cyanophyceae	Coleofasciculales	Coleofasciculaceae	Moorena		3
2712224		Actinomycetota	Actinomycetes	Propionibacteriales	Nocardioidaceae	Nocardioides	Nocardioides convexus	1
2714958		Cyanobacteriota	Cyanophyceae	Gloeobacterales	Anthocerotibacteraceae	Candidatus Cyanaurora	Candidatus Cyanaurora vandensis	1
2720429		Cyanobacteriota	Cyanophyceae	Pleurocapsales	Hydrococcaceae	Hydrococcus	Hydrococcus sp. RM1_1_31	1
2804777		Cyanobacteriota	Cyanophyceae	Gloeobacterales				1
2812628		Cyanobacteriota	Cyanophyceae	Gloeobacterales			Gloeobacterales cyanobacterium ES-bin-141	1
2815305		Bacillota	Bacilli	Caryophanales	Staphylococcaceae	Staphylococcus		1
28216		Pseudomonadota	Betaproteobacteria					1
283734		Bacillota	Bacilli	Caryophanales	Staphylococcaceae	Staphylococcus	Staphylococcus pseudintermedius	1
3018035		Bdellovibrionota						1
3028117		Cyanobacteriota	Cyanophyceae					9
334771		Thermoproteota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Ignisphaera	Ignisphaera aggregans	1
33958		Bacillota	Bacilli	Lactobacillales	Lactobacillaceae			1
379064		Cyanobacteriota	Cyanophyceae	Chroococcales	Geminocystaceae	Cyanobacterium	Cyanobacterium aponinum	1
3888		Streptophyta	Magnoliopsida	Fabales	Fabaceae	Lathyrus	Lathyrus oleraceus	1
39		Myxococcota	Myxococcia	Myxococcales	Archangiaceae			1
425004		Bacillota	Bacilli	Caryophanales	Paenibacillaceae	Cohnella	Cohnella ginsengisoli	1
45882		Nematoda	Enoplea	Trichinellida	Trichinellidae	Trichinella	Trichinella britovi	1
46433		Foraminifera			Reticulomyxidae	Reticulomyxa	Reticulomyxa filosa	1
468		Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae			1
665097		Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Erwinia	Erwinia piriflorinigrans	1
7107		Arthropoda	Insecta	Lepidoptera	Noctuidae	Spodoptera	Spodoptera exigua	1
73025		Euglenozoa	Euglenida	Eutreptiales	Eutreptiaceae	Eutreptiella	Eutreptiella gymnastica	1
75682		Pseudomonadota	Betaproteobacteria	Burkholderiales	Oxalobacteraceae			1
76066		Chordata	Amphibia	Anura	Leptodactylidae	Engystomops	Engystomops pustulosus	1
888997		Cyanobacteriota	Cyanophyceae	Nostocales	Calotrichaceae	Calothrix	Calothrix rhizosoleniae	1
91890		Pseudomonadota	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	Legionella pneumophila	1
