taxid	kingdom	phylum	class	order	family	genus	species
1							
10		Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Cellvibrio	
1002		Bacteroidota	Cytophagia	Cytophagales	Bernardetiaceae	Hugenholtzia	Hugenholtzia roseola
1002370		Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Knufia	Knufia peltigerae
1002526		Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Halopseudomonas	Halopseudomonas formosensis
1002691		Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Occallatibacter	Occallatibacter savannae
1004303		Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae	Ferruginibacter	
1005944		Actinomycetota	Actinomycetes	Propionibacteriales	Nocardioidaceae	Nocardioides	Nocardioides szechwanensis
1007		Bacteroidota	Saprospiria	Saprospirales	Saprospiraceae	Saprospira	
100787		Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Verticillium	Verticillium longisporum
1008152		Methanobacteriota	Halobacteria	Halobacteriales	Haladaptataceae	Haladaptatus	Haladaptatus pallidirubidus
1008807		Heterolobosea	Eutetramitea	Acrasida	Acrasidae	Acrasis	Acrasis kona
101142		Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Thamnidium	Thamnidium elegans
101201		Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma asperellum
1016849		Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Exophiala sideris
1017184		Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Chelatococcaceae	Camelimonas	Camelimonas abortus
1017270		Bacillota	Bacilli	Caryophanales	Fictibacillaceae	Fictibacillus	Fictibacillus enclensis
101924		Rhodophyta	Stylonematophyceae	Stylonematales	Stylonemataceae	Rhodosorus	Rhodosorus marinus
10212		Bryozoa	Gymnolaemata	Cheilostomatida	Bugulidae	Bugula	Bugula neritina
10220		Hemichordata	Enteropneusta				
1027273		Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Endozoicomonadaceae	Endozoicomonas	Endozoicomonas montiporae
