taxid	kingdom	phylum	class	order	family	genus	species
1							
10195		Rotifera	Eurotatoria	Ploima	Brachionidae	Brachionus	Brachionus plicatilis
104777		Rotifera	Eurotatoria	Ploima	Brachionidae	Brachionus	Brachionus calyciflorus
1070528							viral metagenome
111878		Porifera	Hexactinellida	Lyssacinosida	Leucopsacidae	Oopsacas	Oopsacas minuta
1121328		Bacillota	Clostridia	Peptostreptococcales	Tepidibacteraceae	Alkalithermobacter	Alkalithermobacter thermoalcaliphilus
117820		Chytridiomycota	Chytridiomycetes	Spizellomycetales	Spizellomycetaceae	Spizellomyces	Spizellomyces sp. 'palustris'
118510		Streptophyta	Magnoliopsida	Asterales	Asteraceae	Tanacetum	Tanacetum cinerariifolium
1236		Pseudomonadota	Gammaproteobacteria				
1262744		Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides sp. CAG:633
131567							
13249		Arthropoda	Insecta	Hemiptera	Reduviidae	Rhodnius	Rhodnius prolixus
133076		Arthropoda	Insecta	Hemiptera	Aphididae		
1348612		Glomeromycota	Glomeromycetes	Diversisporales	Diversisporaceae	Diversispora	Diversispora epigaea
137		Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae		
1385		Bacillota	Bacilli	Caryophanales			
1428652		Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces colonosanans
1470354		Bacillota	Clostridia	Eubacteriales		Candidatus Soleaferrea	Candidatus Soleaferrea massiliensis
1519616			Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium	Symbiodinium sp. CCMP2456
158441		Arthropoda	Collembola	Entomobryomorpha	Isotomidae	Folsomia	Folsomia candida
161398		Pseudomonadota	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	Pseudoalteromonas phenolica
1628268			Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium	Symbiodinium necroappetens
166011		Nematoda	Chromadorea	Rhabditida	Anguinidae	Ditylenchus	Ditylenchus dipsaci
