taxid	kingdom	phylum	class	order	family	genus	species	n_sequences
1								1
10195		Rotifera	Eurotatoria	Ploima	Brachionidae	Brachionus	Brachionus plicatilis	1
104777		Rotifera	Eurotatoria	Ploima	Brachionidae	Brachionus	Brachionus calyciflorus	2
1070528							viral metagenome	1
111878		Porifera	Hexactinellida	Lyssacinosida	Leucopsacidae	Oopsacas	Oopsacas minuta	1
1121328		Bacillota	Clostridia	Peptostreptococcales	Tepidibacteraceae	Alkalithermobacter	Alkalithermobacter thermoalcaliphilus	1
117820		Chytridiomycota	Chytridiomycetes	Spizellomycetales	Spizellomycetaceae	Spizellomyces	Spizellomyces sp. 'palustris'	1
118510		Streptophyta	Magnoliopsida	Asterales	Asteraceae	Tanacetum	Tanacetum cinerariifolium	1
1236		Pseudomonadota	Gammaproteobacteria					4
1262744		Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides sp. CAG:633	1
131567								3
13249		Arthropoda	Insecta	Hemiptera	Reduviidae	Rhodnius	Rhodnius prolixus	1
133076		Arthropoda	Insecta	Hemiptera	Aphididae			1
1348612		Glomeromycota	Glomeromycetes	Diversisporales	Diversisporaceae	Diversispora	Diversispora epigaea	1
137		Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae			1
1385		Bacillota	Bacilli	Caryophanales				2
1428652		Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces colonosanans	1
1470354		Bacillota	Clostridia	Eubacteriales		Candidatus Soleaferrea	Candidatus Soleaferrea massiliensis	1
1519616			Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium	Symbiodinium sp. CCMP2456	1
158441		Arthropoda	Collembola	Entomobryomorpha	Isotomidae	Folsomia	Folsomia candida	1
161398		Pseudomonadota	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	Pseudoalteromonas phenolica	1
1628268			Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium	Symbiodinium necroappetens	1
