taxid	kingdom	phylum	class	order	family	genus	species
1							
1003181		Pseudomonadota	Gammaproteobacteria	Thiotrichales	Thiotrichaceae	Thiomargarita	Candidatus Thiomargarita nelsonii
1008807		Heterolobosea	Eutetramitea	Acrasida	Acrasidae	Acrasis	Acrasis kona
10194		Rotifera	Eurotatoria	Ploima	Brachionidae	Brachionus	
103775		Arthropoda	Insecta	Diptera	Drosophilidae	Drosophila	Drosophila gunungcola
104087		Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas frederiksbergensis
1042315		Armatimonadota	Armatimonadia	Armatimonadales	Armatimonadaceae	Armatimonas	
1043627		Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Hirsutella	Hirsutella minnesotensis
104431		Arthropoda	Insecta	Lepidoptera			
1070319		Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Candidatus Glomeribacter	Candidatus Glomeribacter gigasporarum
107243		Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Noccaea	Noccaea caerulescens
1082188		Ciliophora	Spirotrichea		Strombidiidae	Strombidium	Strombidium rassoulzadegani
1093141			Eustigmatophyceae	Eustigmatales	Monodopsidaceae	Nannochloropsis	Nannochloropsis gaditana
1117		Cyanobacteriota					
111878		Porifera	Hexactinellida	Lyssacinosida	Leucopsacidae	Oopsacas	Oopsacas minuta
112		Planctomycetota	Planctomycetia	Planctomycetales			
1124761		Actinomycetota	Actinomycetes	Streptosporangiales	Streptosporangiaceae	Nonomuraea	Nonomuraea muscovyensis
1125		Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	
1127		Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	Microcystis sp.
1131492		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae		
113562		Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Actinoplanes	Actinoplanes derwentensis
1141887		Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas lenta
1150		Cyanobacteriota	Cyanophyceae	Oscillatoriales			
1155738		Cyanobacteriota	Cyanophyceae	Coleofasciculales	Coleofasciculaceae	Moorena	
1161		Cyanobacteriota	Cyanophyceae	Nostocales			
1169474					Chromeraceae	Chromera	Chromera velia
116970		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium angulare
117571		Chordata					
1177		Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	Nostoc	
1177931		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Sulfurimonadaceae	Thiovulum	Thiovulum sp. ES
1184267		Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Pseudobdellovibrionaceae	Pseudobdellovibrio	Pseudobdellovibrio exovorus
1187855		Actinomycetota	Actinomycetes	Streptosporangiales	Streptosporangiaceae	Nonomuraea	Nonomuraea cypriaca
119060		Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae		
1193682		Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Actinokineospora	Actinokineospora bangkokensis
1206795							
121088		Chlorophyta	Ulvophyceae	Bryopsidales	Ostreobiaceae	Ostreobium	Ostreobium quekettii
1219		Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	Prochlorococcus marinus
1223		Cyanobacteriota	Cyanophyceae	Prochlorotrichales	Prochlorotrichaceae	Prochlorothrix	Prochlorothrix hollandica
1224		Pseudomonadota					
