taxid	kingdom	phylum	class	order	family	genus	species	n_sequences
1								19
1003181		Pseudomonadota	Gammaproteobacteria	Thiotrichales	Thiotrichaceae	Thiomargarita	Candidatus Thiomargarita nelsonii	1
1008807		Heterolobosea	Eutetramitea	Acrasida	Acrasidae	Acrasis	Acrasis kona	2
10194		Rotifera	Eurotatoria	Ploima	Brachionidae	Brachionus		1
103775		Arthropoda	Insecta	Diptera	Drosophilidae	Drosophila	Drosophila gunungcola	1
104087		Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas frederiksbergensis	1
1042315		Armatimonadota	Armatimonadia	Armatimonadales	Armatimonadaceae	Armatimonas		1
1043627		Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Hirsutella	Hirsutella minnesotensis	1
104431		Arthropoda	Insecta	Lepidoptera				4
1070319		Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Candidatus Glomeribacter	Candidatus Glomeribacter gigasporarum	1
107243		Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Noccaea	Noccaea caerulescens	1
1082188		Ciliophora	Spirotrichea		Strombidiidae	Strombidium	Strombidium rassoulzadegani	1
1093141			Eustigmatophyceae	Eustigmatales	Monodopsidaceae	Nannochloropsis	Nannochloropsis gaditana	1
1117		Cyanobacteriota						1
111878		Porifera	Hexactinellida	Lyssacinosida	Leucopsacidae	Oopsacas	Oopsacas minuta	2
112		Planctomycetota	Planctomycetia	Planctomycetales				1
1124761		Actinomycetota	Actinomycetes	Streptosporangiales	Streptosporangiaceae	Nonomuraea	Nonomuraea muscovyensis	1
1125		Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis		1
1127		Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	Microcystis sp.	1
1131492		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae			1
113562		Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Actinoplanes	Actinoplanes derwentensis	1
1141887		Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas lenta	1
1150		Cyanobacteriota	Cyanophyceae	Oscillatoriales				6
1155738		Cyanobacteriota	Cyanophyceae	Coleofasciculales	Coleofasciculaceae	Moorena		1
1161		Cyanobacteriota	Cyanophyceae	Nostocales				3
1169474					Chromeraceae	Chromera	Chromera velia	1
116970		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium angulare	1
117571		Chordata						5
1177		Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	Nostoc		1
1177931		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Sulfurimonadaceae	Thiovulum	Thiovulum sp. ES	1
1184267		Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Pseudobdellovibrionaceae	Pseudobdellovibrio	Pseudobdellovibrio exovorus	3
1187855		Actinomycetota	Actinomycetes	Streptosporangiales	Streptosporangiaceae	Nonomuraea	Nonomuraea cypriaca	1
119060		Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae			3
1193682		Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Actinokineospora	Actinokineospora bangkokensis	1
1206795								1
121088		Chlorophyta	Ulvophyceae	Bryopsidales	Ostreobiaceae	Ostreobium	Ostreobium quekettii	1
1219		Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	Prochlorococcus marinus	1
1223		Cyanobacteriota	Cyanophyceae	Prochlorotrichales	Prochlorotrichaceae	Prochlorothrix	Prochlorothrix hollandica	1
1224		Pseudomonadota						38
1234261		Rotifera	Eurotatoria	Philodinida	Philodinidae	Didymodactylos	Didymodactylos carnosus	1
1236		Pseudomonadota	Gammaproteobacteria					11
1238427		Methanobacteriota	Halobacteria	Halobacteriales	Haloferacaceae	Halonotius	Halonotius sp. J07HN6	1
124430			Pinguiophyceae	Pinguiochrysidales	Pinguiochrysidaceae	Phaeomonas	Phaeomonas parva	1
1257118		Discosea		Longamoebia	Acanthamoebidae	Acanthamoeba	Acanthamoeba castellanii	3
126		Planctomycetota	Planctomycetia	Planctomycetales	Planctomycetaceae			2
1282		Bacillota	Bacilli	Caryophanales	Staphylococcaceae	Staphylococcus	Staphylococcus epidermidis	1
1291522		Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellaceae	Helicosporidium	Helicosporidium sp. ATCC 50920	1
1294199		Arthropoda	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora carolleeae	1
1300035		Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Nitrobacteraceae	Bradyrhizobium	Bradyrhizobium retamae	1
1301283		Cyanobacteriota	Cyanophyceae					2
1313172		Actinomycetota	Acidimicrobiia	Acidimicrobiales	Ilumatobacteraceae	Ilumatobacter	Ilumatobacter coccineus	1
1314962		Euglenozoa	Kinetoplastea		Ichthyobodonidae	Perkinsela	Perkinsela sp. CCAP 1560/4	1
131567								7
1316194		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium subrubescens	1
13221		Haptophyta		Isochrysidales	Isochrysidaceae	Chrysotila	Chrysotila carterae	3
1353136		Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	Synechococcus sp. CBW1004	1
13599		Mollusca	Polyplacophora	Chitonida	Chitonidae	Liolophura	Liolophura japonica	1
1365253		Pseudomonadota	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	Pseudoalteromonas luteoviolacea	1
1385		Bacillota	Bacilli	Caryophanales				2
138563		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter cetorum	1
1385935		Cyanobacteriota	Cyanophyceae	Leptolyngbyales	Leptolyngbyaceae	Leptolyngbya	Leptolyngbya sp. Heron Island J	1
1400865		Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	Synechococcus sp. BIOS-U3-1	1
1410327		Evosea	Eumycetozoa	Acytosteliales	Acytosteliaceae	Acytostelium	Acytostelium subglobosum	1
1410381			Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	Amoebophrya sp. A25	1
1421715		Arthropoda	Insecta	Coleoptera	Lampyridae	Aquatica	Aquatica leii	1
1437183		Streptophyta	Magnoliopsida					4
1437201		Streptophyta	Magnoliopsida					1
1442553		Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	Synechococcus sp. M16.1	1
1446379		Streptophyta	Pinopsida	Cupressales				1
1456591		Pseudomonadota	Alphaproteobacteria	Kordiimonadales	Temperatibacteraceae	Temperatibacter	Temperatibacter marinus	1
147550		Ascomycota	Sordariomycetes					1
1479485		Cyanobacteriota	Cyanophyceae	Nostocales	Tolypothrichaceae	Tolypothrix	Tolypothrix bouteillei	1
149698		Pseudomonadota	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia		1
1503054		Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia stagnalis	1
150830		Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Stappiaceae	Roseibium		1
1514080		Bacteroidota	Saprospiria	Saprospirales	Lewinellaceae	Neolewinella	Neolewinella xylanilytica	1
1517702		Actinomycetota	Actinomycetes	Mycobacteriales	Gordoniaceae	Gordonia	Gordonia jinhuaensis	1
1518452		Arthropoda	Malacostraca	Amphipoda	Lysianassidae	Hirondellea	Hirondellea gigas	2
1519565		Bacillariophyta	Bacillariophyceae	Naviculales	Stauroneidaceae	Fistulifera	Fistulifera solaris	2
1519616			Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium	Symbiodinium sp. CCMP2456	2
1543705		Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Azospirillaceae	Nitrospirillum		1
1549638		Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Quisquiliibacterium	Quisquiliibacterium transsilvanicum	1
156133		Prasinodermophyta	Prasinodermophyceae	Prasinodermales	Prasinodermaceae	Prasinoderma	Prasinoderma coloniale	1
1561972							seawater metagenome	1
158627		Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas graminis	1
159733		Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	uncultured Prochlorococcus sp.	1
161398		Pseudomonadota	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	Pseudoalteromonas phenolica	1
163516		Bacillariophyta	Leptocylindrophyceae	Leptocylindrales	Leptocylindraceae	Leptocylindrus	Leptocylindrus danicus	3
163714		Arthropoda	Ostracoda	Podocopida	Cytherideidae	Cyprideis	Cyprideis torosa	1
1644114		Bacillota	Bacilli	Caryophanales	Paenibacillaceae	Brevibacillus	Brevibacillus migulae	1
1650286		Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellaceae	Nannochloris	Nannochloris sp. 'desiccata'	1
1650658		Actinomycetota	Actinomycetes				Actinobacteria bacterium IMCC26256	1
1652958		Bacillota	Bacilli	Caryophanales	Paenibacillaceae	Paenibacillus	Paenibacillus nasutitermitis	1
165301		Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Lentzea		1
1680591		Cyanobacteriota	Cyanophyceae	Nostocales	Scytonemataceae	Scytonema	Scytonema sp. PCC 10023	1
170555		Arthropoda	Insecta	Phasmatodea	Timematidae	Timema	Timema monikensis	1
171436		Pseudomonadota	Alphaproteobacteria	Geminicoccales	Geminicoccaceae	Tistrella		1
1716		Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	Corynebacterium		1
172671			Pinguiophyceae	Pinguiochrysidales	Pinguiochrysidaceae	Pinguiococcus	Pinguiococcus pyrenoidosus	1
175694		Streptophyta	Magnoliopsida	Lamiales	Acanthaceae	Andrographis	Andrographis paniculata	1
175774		Chordata	Actinopteri	Siluriformes	Sisoridae	Bagarius	Bagarius yarrelli	1
1760		Actinomycetota	Actinomycetes					14
1768		Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium kansasii	1
1775166		Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Croceitalea	Croceitalea marina	1
1783257								2
1783270								4
1783272								4
1798277		Pseudomonadota	Gammaproteobacteria				Gammaproteobacteria bacterium RIFCSPHIGHO2_12_FULL_37_34	1
180195		Pseudomonadota	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Herbaspirillum	Herbaspirillum autotrophicum	1
1802673		Candidatus Yanofskyibacteriota					Candidatus Yanofskybacteria bacterium RIFCSPHIGHO2_02_FULL_38_22b	2
1803494		Actinomycetota					Actinobacteria bacterium 13_2_20CM_2_71_6	1
1817		Actinomycetota	Actinomycetes	Mycobacteriales	Nocardiaceae	Nocardia		4
