taxid	kingdom	phylum	class	order	family	genus	species
1							
1004300		Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae	Hydrotalea	
1006576		Thermotogota	Thermotogae	Petrotogales	Petrotogaceae	Defluviitoga	Defluviitoga tunisiensis
1008152		Methanobacteriota	Halobacteria	Halobacteriales	Haladaptataceae	Haladaptatus	Haladaptatus pallidirubidus
101571		Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
1016		Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	
1021		Pseudomonadota	Gammaproteobacteria	Thiotrichales	Thiotrichaceae	Beggiatoa	
102109		Thermodesulfobacteriota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio inopinatus
102234		Cyanobacteriota	Cyanophyceae	Chroococcales	Geminocystaceae	Cyanobacterium	
102897		Actinomycetota	Actinomycetes	Frankiales	Frankiaceae	Parafrankia	Parafrankia sp. EUN1f
1046		Pseudomonadota	Gammaproteobacteria	Chromatiales	Chromatiaceae		
1047005		Candidatus Omnitrophota					
1051		Pseudomonadota	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Ectothiorhodospira	
1051890		Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Terfezia	Terfezia boudieri
1052		Pseudomonadota	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Halorhodospira	Halorhodospira halochloris
105850		Thermoproteota	Thermoprotei	Acidilobales	Acidilobaceae	Acidilobus	
1069815		Mollusca	Bivalvia	Unionida	Unionidae	Sinanodonta	Sinanodonta woodiana
1075398		Methanobacteriota	Halobacteria	Halobacteriales	Halobacteriaceae	Salarchaeum	
1075417		Bacteroidota	Cytophagia	Cytophagales	Catalimonadaceae	Catalinimonas	Catalinimonas alkaloidigena
1076179							bioreactor metagenome
1077265		Armatimonadota	Chthonomonadia	Chthonomonadales	Chthonomonadaceae	Chthonomonas	
1093978		Mollusca	Gastropoda		Plakobranchidae	Elysia	Elysia marginata
1095009		Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium sp. NkU-1
1112738		Bacillota	Erysipelotrichia	Erysipelotrichales	Coprobacillaceae	Sharpea	uncultured Sharpea sp.
1117		Cyanobacteriota					
112		Planctomycetota	Planctomycetia	Planctomycetales			
1124597		Pseudomonadota	Magnetococcia	Magnetococcales	Magnetococcaceae	Magnetococcus	Magnetococcus marinus
1125		Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	
114378		Thermoproteota	Thermoprotei	Thermofilales	Thermofilaceae		
1144618		Actinomycetota	Actinomycetes	Streptosporangiales		Allonocardiopsis	Allonocardiopsis opalescens
1154860		Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus agalactiae
115531		Methanobacteriota					
1156395		Thermodesulfobacteriota	Dissulfuribacteria	Dissulfuribacterales	Dissulfuribacteraceae	Dissulfuribacter	Dissulfuribacter thermophilus
1156500							
