taxid	kingdom	phylum	class	order	family	genus	species	n_sequences
1								35
1004300		Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae	Hydrotalea		1
1006576		Thermotogota	Thermotogae	Petrotogales	Petrotogaceae	Defluviitoga	Defluviitoga tunisiensis	1
1008152		Methanobacteriota	Halobacteria	Halobacteriales	Haladaptataceae	Haladaptatus	Haladaptatus pallidirubidus	1
101571		Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis	1
1016		Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga		2
1021		Pseudomonadota	Gammaproteobacteria	Thiotrichales	Thiotrichaceae	Beggiatoa		1
102109		Thermodesulfobacteriota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio inopinatus	1
102234		Cyanobacteriota	Cyanophyceae	Chroococcales	Geminocystaceae	Cyanobacterium		1
102897		Actinomycetota	Actinomycetes	Frankiales	Frankiaceae	Parafrankia	Parafrankia sp. EUN1f	1
1046		Pseudomonadota	Gammaproteobacteria	Chromatiales	Chromatiaceae			3
1047005		Candidatus Omnitrophota						2
1051		Pseudomonadota	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Ectothiorhodospira		1
1051890		Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Terfezia	Terfezia boudieri	1
1052		Pseudomonadota	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Halorhodospira	Halorhodospira halochloris	2
105850		Thermoproteota	Thermoprotei	Acidilobales	Acidilobaceae	Acidilobus		1
1069815		Mollusca	Bivalvia	Unionida	Unionidae	Sinanodonta	Sinanodonta woodiana	1
1075398		Methanobacteriota	Halobacteria	Halobacteriales	Halobacteriaceae	Salarchaeum		1
1075417		Bacteroidota	Cytophagia	Cytophagales	Catalimonadaceae	Catalinimonas	Catalinimonas alkaloidigena	1
1076179							bioreactor metagenome	6
1077265		Armatimonadota	Chthonomonadia	Chthonomonadales	Chthonomonadaceae	Chthonomonas		1
1093978		Mollusca	Gastropoda		Plakobranchidae	Elysia	Elysia marginata	1
1095009		Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium sp. NkU-1	2
1112738		Bacillota	Erysipelotrichia	Erysipelotrichales	Coprobacillaceae	Sharpea	uncultured Sharpea sp.	1
1117		Cyanobacteriota						6
112		Planctomycetota	Planctomycetia	Planctomycetales				2
1124597		Pseudomonadota	Magnetococcia	Magnetococcales	Magnetococcaceae	Magnetococcus	Magnetococcus marinus	1
1125		Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis		1
114378		Thermoproteota	Thermoprotei	Thermofilales	Thermofilaceae			1
1144618		Actinomycetota	Actinomycetes	Streptosporangiales		Allonocardiopsis	Allonocardiopsis opalescens	1
1154860		Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus agalactiae	1
115531		Methanobacteriota						1
1156395		Thermodesulfobacteriota	Dissulfuribacteria	Dissulfuribacterales	Dissulfuribacteraceae	Dissulfuribacter	Dissulfuribacter thermophilus	1
1156500								1
1160		Cyanobacteriota	Cyanophyceae	Oscillatoriales	Microcoleaceae	Planktothrix	Planktothrix agardhii	2
1160283		Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	Microcystis aeruginosa	3
1160285		Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	Microcystis aeruginosa	1
1162668		Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Leptospirillum	Leptospirillum ferrooxidans	1
117		Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	Pirellula	Pirellula sp.	1
117743		Bacteroidota	Flavobacteriia					2
1184398		Thermotogota	Thermotogae	Kosmotogales	Kosmotogaceae	Mesotoga		1
118510		Streptophyta	Magnoliopsida	Asterales	Asteraceae	Tanacetum	Tanacetum cinerariifolium	1
1185843		Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	Desulfatitalea	Desulfatitalea tepidiphila	1
1189621		Bacteroidota	Cytophagia	Cytophagales	Cyclobacteriaceae	Nitritalea	Nitritalea halalkaliphila	2
1224		Pseudomonadota						25
1227487		Methanobacteriota	Halobacteria	Halobacteriales	Haloferacaceae	Halogeometricum	Halogeometricum pallidum	1
1227556		Bacteroidota	Saprospiria	Saprospirales	Haliscomenobacteraceae	Portibacter		1
1234023							uncultured bacterium (gcode 4)	2
1236		Pseudomonadota	Gammaproteobacteria					8
1239		Bacillota						15
1262770		Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium sp. CAG:1024	2
