taxid	kingdom	phylum	class	order	family	genus	species	n_sequences
1								30
1004301		Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae	Flavihumibacter		1
1005039		Armatimonadota	Fimbriimonadia	Fimbriimonadales	Fimbriimonadaceae	Fimbriimonas	Fimbriimonas ginsengisoli	1
102232		Cyanobacteriota	Cyanophyceae	Chroococcales	Chroococcaceae	Gloeocapsa	Gloeocapsa sp. PCC 73106	1
1027361			Eustigmatophyceae	Eustigmatales	Monodopsidaceae	Microchloropsis	Microchloropsis salina	1
102897		Actinomycetota	Actinomycetes	Frankiales	Frankiaceae	Parafrankia	Parafrankia sp. EUN1f	1
1030		Pseudomonadota	Gammaproteobacteria	Thiotrichales	Thiotrichaceae	Thiothrix		1
1032		Pseudomonadota	Gammaproteobacteria	Thiotrichales	Thiotrichaceae	Thiothrix	Thiothrix sp.	1
1035614		Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Eudoraea	uncultured Eudoraea sp.	1
103690		Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	Nostoc	Nostoc sp. PCC 7120 = FACHB-418	1
103733		Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Saccharothrix	Saccharothrix syringae	1
103837		Actinomycetota	Actinomycetes	Streptosporangiales	Streptosporangiaceae	Nonomuraea	Nonomuraea roseoviolacea	1
104099		Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter orleanensis	1
1041		Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Erythrobacter		1
1042315		Armatimonadota	Armatimonadia	Armatimonadales	Armatimonadaceae	Armatimonas		1
1042316		Armatimonadota						1
1047168		Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Zymoseptoria	Zymoseptoria brevis	1
105231		Streptophyta	Klebsormidiophyceae	Klebsormidiales	Klebsormidiaceae	Klebsormidium	Klebsormidium nitens	2
1054202		Pseudomonadota	Alphaproteobacteria	Rhodobacterales		Rhodobacter	Rhodobacter viridis	1
1068904		Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Primorskyibacter		1
107		Bacteroidota	Cytophagia	Cytophagales	Cytophagaceae	Spirosoma		1
1070431		Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingosinicellaceae	Polymorphobacter	Polymorphobacter multimanifer	1
1070528							viral metagenome	6
1073253		Actinomycetota	Actinomycetes	Streptosporangiales	Streptosporangiaceae	Thermocatellispora	Thermocatellispora tengchongensis	1
1076125		Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Phytohabitans	Phytohabitans rumicis	1
1076179							bioreactor metagenome	1
1079859		Bacteroidota	Cytophagia	Cytophagales	Flectobacillaceae	Pseudarcicella	Pseudarcicella hirudinis	4
108015		Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Nitrobacteraceae	Bradyrhizobium	Bradyrhizobium yuanmingense	2
1082276		Bacillota				Hydrogenispora	Hydrogenispora ethanolica	1
