Actinoplanes sp.	cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micromonosporales;Micromonosporaceae;Actinoplanes;unclassified Actinoplanes;Actinoplanes sp.		Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Actinoplanes
Actinoplanes teichomyceticus	cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micromonosporales;Micromonosporaceae;Actinoplanes;Actinoplanes teichomyceticus		Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Actinoplanes
Amycolatopsis balhimycina	cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Pseudonocardiales;Pseudonocardiaceae;Amycolatopsis;Amycolatopsis balhimycina		Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Amycolatopsis
Amycolatopsis orientalis	cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Pseudonocardiales;Pseudonocardiaceae;Amycolatopsis;Amycolatopsis orientalis		Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Amycolatopsis
Anabaena sp. 90	cellular organisms;Bacteria;Bacillati;Cyanobacteriota/Melainabacteria group;Cyanobacteriota;Cyanophyceae;Nostocales;Nostocaceae;Anabaena;unclassified Anabaena;Anabaena sp. 90		Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	Anabaena
Chondromyces crocatus	cellular organisms;Bacteria;Pseudomonadati;Myxococcota;Polyangia;Polyangiales;Polyangiaceae;Chondromyces;Chondromyces crocatus		Myxococcota		Polyangiales	Polyangiaceae	Chondromyces
Microcystis aeruginosa	cellular organisms;Bacteria;Bacillati;Cyanobacteriota/Melainabacteria group;Cyanobacteriota;Cyanophyceae;Oscillatoriophycideae;Chroococcales;Microcystaceae;Microcystis;Microcystis aeruginosa		Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis
Microcystis sp. NIVA-CYA 172/5	cellular organisms;Bacteria;Bacillati;Cyanobacteriota/Melainabacteria group;Cyanobacteriota;Cyanophyceae;Oscillatoriophycideae;Chroococcales;Microcystaceae;Microcystis;Microcystis cf. wesenbergii;Microcystis sp. NIVA-CYA 172/5		Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis
Nostoc sp. ATCC 53789	cellular organisms;Bacteria;Bacillati;Cyanobacteriota/Melainabacteria group;Cyanobacteriota;Cyanophyceae;Nostocales;Nostocaceae;Nostoc;unclassified Nostoc;Nostoc sp. ATCC 53789		Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	Nostoc
Streptomyces fungicidicus	cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces;Streptomyces fungicidicus		Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces
Streptomyces roseochromogenus subsp. oscitans DS 12.976	cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces;Streptomyces roseochromogenus;Streptomyces roseochromogenus subsp. oscitans;Streptomyces roseochromogenus subsp. oscitans DS 12.976		Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces
Streptomyces sp. NPDC058620	cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces;unclassified Streptomyces;Streptomyces sp. NPDC058620		Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces
