Neorhodopirellula lusitana	cellular organisms;Bacteria;Pseudomonadati;PVC group;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Neorhodopirellula;Neorhodopirellula lusitana		Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	Neorhodopirellula
Neorhodopirellula pilleata	cellular organisms;Bacteria;Pseudomonadati;PVC group;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Neorhodopirellula;Neorhodopirellula pilleata		Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	Neorhodopirellula
Planctomycetota bacterium	cellular organisms;Bacteria;Pseudomonadati;PVC group;Planctomycetota;unclassified Planctomycetota;Planctomycetota bacterium		Planctomycetota				
Rhodopirellula bahusiensis	cellular organisms;Bacteria;Pseudomonadati;PVC group;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Rhodopirellula;Rhodopirellula bahusiensis		Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	Rhodopirellula
Rhodopirellula baltica	cellular organisms;Bacteria;Pseudomonadati;PVC group;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Rhodopirellula;Rhodopirellula baltica		Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	Rhodopirellula
Rhodopirellula sp. SWK7	cellular organisms;Bacteria;Pseudomonadati;PVC group;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Rhodopirellula;unclassified Rhodopirellula;Rhodopirellula sp. SWK7		Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	Rhodopirellula
Roseiconus lacunae	cellular organisms;Bacteria;Pseudomonadati;PVC group;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Roseiconus;Roseiconus lacunae		Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	Roseiconus
Roseimaritima multifibrata	cellular organisms;Bacteria;Pseudomonadati;PVC group;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Roseimaritima;Roseimaritima multifibrata		Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	Roseimaritima
Rosistilla ulvae	cellular organisms;Bacteria;Pseudomonadati;PVC group;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Rosistilla;Rosistilla ulvae		Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	Rosistilla
Rubripirellula amarantea	cellular organisms;Bacteria;Pseudomonadati;PVC group;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Rubripirellula;Rubripirellula amarantea		Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	Rubripirellula
Stieleria mannarensis	cellular organisms;Bacteria;Pseudomonadati;PVC group;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Stieleria;Stieleria mannarensis		Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	Stieleria
