Acaryochloris marina	cellular organisms;Bacteria;Bacillati;Cyanobacteriota/Melainabacteria group;Cyanobacteriota;Cyanophyceae;Acaryochloridales;Acaryochloridaceae;Acaryochloris;Acaryochloris marina		Cyanobacteriota	Cyanophyceae	Acaryochloridales	Acaryochloridaceae	Acaryochloris
Actinomadura	cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Streptosporangiales;Thermomonosporaceae;Actinomadura		Actinomycetota	Actinomycetes	Streptosporangiales	Thermomonosporaceae	Actinomadura
Actinomadura hallensis	cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Streptosporangiales;Thermomonosporaceae;Actinomadura;Actinomadura hallensis		Actinomycetota	Actinomycetes	Streptosporangiales	Thermomonosporaceae	Actinomadura
Actinomadura sp. 6K520	cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Streptosporangiales;Thermomonosporaceae;Actinomadura;unclassified Actinomadura;Actinomadura sp. 6K520		Actinomycetota	Actinomycetes	Streptosporangiales	Thermomonosporaceae	Actinomadura
Actinomadura sp. 7K507	cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Streptosporangiales;Thermomonosporaceae;Actinomadura;unclassified Actinomadura;Actinomadura sp. 7K507		Actinomycetota	Actinomycetes	Streptosporangiales	Thermomonosporaceae	Actinomadura
Actinomadura sp. 7K534	cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Streptosporangiales;Thermomonosporaceae;Actinomadura;unclassified Actinomadura;Actinomadura sp. 7K534		Actinomycetota	Actinomycetes	Streptosporangiales	Thermomonosporaceae	Actinomadura
Actinomadura viridis	cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Streptosporangiales;Thermomonosporaceae;Actinomadura;Actinomadura viridis		Actinomycetota	Actinomycetes	Streptosporangiales	Thermomonosporaceae	Actinomadura
Actinopolyspora mortivallis	cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Actinopolysporales;Actinopolysporaceae;Actinopolyspora;Actinopolyspora mortivallis		Actinomycetota	Actinomycetes	Actinopolysporales	Actinopolysporaceae	Actinopolyspora
Algoriphagus marincola HL-49	cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Cytophagia;Cytophagales;Cyclobacteriaceae;Algoriphagus;Algoriphagus marincola;Algoriphagus marincola HL-49		Bacteroidota	Cytophagia	Cytophagales	Cyclobacteriaceae	Algoriphagus
Alteromonas naphthalenivorans	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas/Salinimonas group;Alteromonas;Alteromonas naphthalenivorans		Pseudomonadota	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas
Phytohabitans rumicis	cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micromonosporales;Micromonosporaceae;Phytohabitans;Phytohabitans rumicis		Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Phytohabitans
Saccharomonospora saliphila	cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Pseudonocardiales;Pseudonocardiaceae;Saccharomonospora;Saccharomonospora saliphila		Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Saccharomonospora
Spirillospora sp. NBC_00431	cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Streptosporangiales;Thermomonosporaceae;Spirillospora;unclassified Spirillospora;Spirillospora sp. NBC_00431		Actinomycetota	Actinomycetes	Streptosporangiales	Thermomonosporaceae	Spirillospora
Streptomyces sp. CNH189	cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces;unclassified Streptomyces;Streptomyces sp. CNH189		Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces
Streptomyces sp. CNQ329	cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces;unclassified Streptomyces;Streptomyces sp. CNQ329		Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces
Streptomyces sp. CNQ-525	cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces;unclassified Streptomyces;Streptomyces sp. CNQ-525		Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces
Streptomyces sp. CNQ865	cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces;unclassified Streptomyces;Streptomyces sp. CNQ865		Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces
Streptomyces sp. CNS335	cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces;unclassified Streptomyces;Streptomyces sp. CNS335		Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces
Streptomyces sp. CNT371	cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces;unclassified Streptomyces;Streptomyces sp. CNT371		Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces
Streptomyces sp. SBT349	cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces;unclassified Streptomyces;Streptomyces sp. SBT349		Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces
Streptomycetaceae bacterium CNQ766	cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomycetaceae incertae sedis;MAR4 Clade;Streptomycetaceae bacterium CNQ766		Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	
Synechococcus sp. (strain WH8020)	cellular organisms;Bacteria;Bacillati;Cyanobacteriota/Melainabacteria group;Cyanobacteriota;Cyanophyceae;Synechococcales;Synechococcaceae;Synechococcus;unclassified Synechococcus;Synechococcus sp. WH 8020		Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus
unclassified Streptomyces	cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces;unclassified Streptomyces		Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces
Zobellia galactanivorans	cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Zobellia;Zobellia galactanivorans		Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Zobellia
Zobellia galactanivorans	cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Zobellia;Zobellia galactanivorans		Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Zobellia
