organism	kingdom	phylum	class	order	family	genus	species
Alectoria sarmentosa	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;Lecanoromycetes;OSLEUM clade;Lecanoromycetidae;Lecanorales;Lecanorineae;Parmeliaceae;Alectoria;Alectoria sarmentosa		Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Alectoria
Alternaria atra	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;dothideomyceta;Dothideomycetes;Pleosporomycetidae;Pleosporales;Pleosporineae;Pleosporaceae;Alternaria;Alternaria sect. Ulocladioides;Alternaria atra		Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
Alyxoria varia	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;dothideomyceta;Arthoniomycetes;Arthoniales;Lecanographaceae;Alyxoria;Alyxoria varia		Ascomycota	Arthoniomycetes	Arthoniales	Lecanographaceae	Alyxoria
Amylocarpus encephaloides	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Leotiomycetes;Helotiales;Helotiales incertae sedis;Amylocarpus;Amylocarpus encephaloides		Ascomycota	Leotiomycetes	Helotiales		Amylocarpus
Annulohypoxylon maeteangense	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Xylariomycetidae;Xylariales;Hypoxylaceae;Annulohypoxylon;Annulohypoxylon maeteangense		Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Annulohypoxylon
Annulohypoxylon truncatum	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Xylariomycetidae;Xylariales;Hypoxylaceae;Annulohypoxylon;Annulohypoxylon truncatum		Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Annulohypoxylon
Aspergillus aurantiobrunneus	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;Eurotiomycetes;Eurotiomycetidae;Eurotiales;Aspergillaceae;Aspergillus;Aspergillus subgen. Nidulantes;Aspergillus aurantiobrunneus		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus falconensis	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;Eurotiomycetes;Eurotiomycetidae;Eurotiales;Aspergillaceae;Aspergillus;Aspergillus subgen. Nidulantes;Aspergillus falconensis		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus filifer	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;Eurotiomycetes;Eurotiomycetidae;Eurotiales;Aspergillaceae;Aspergillus;Aspergillus subgen. Nidulantes;Aspergillus filifer		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus fruticulosus	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;Eurotiomycetes;Eurotiomycetidae;Eurotiales;Aspergillaceae;Aspergillus;Aspergillus subgen. Nidulantes;Aspergillus fruticulosus		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus recurvatus	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;Eurotiomycetes;Eurotiomycetidae;Eurotiales;Aspergillaceae;Aspergillus;Aspergillus subgen. Nidulantes;Aspergillus recurvatus		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus sclerotiicarbonarius CBS 121057	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;Eurotiomycetes;Eurotiomycetidae;Eurotiales;Aspergillaceae;Aspergillus;Aspergillus subgen. Circumdati;Aspergillus sclerotiicarbonarius;Aspergillus sclerotiicarbonarius CBS 121057		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Bogoriella megaspora	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;dothideomyceta;Dothideomycetes;Dothideomycetes incertae sedis;Trypetheliales;Trypetheliaceae;Bogoriella;Bogoriella megaspora		Ascomycota	Dothideomycetes	Trypetheliales	Trypetheliaceae	Bogoriella
Cenococcum geophilum 1.58	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;dothideomyceta;Dothideomycetes;Pleosporomycetidae;Gloniales;Gloniaceae;Cenococcum;Cenococcum geophilum;Cenococcum geophilum 1.58		Ascomycota	Dothideomycetes	Gloniales	Gloniaceae	Cenococcum
